model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
pcfg,rockyou,all-12-100-80,500000000,r12,10798221,2.16
pcfg,rockyou,all-12-100-80,500000000,r13,458053,0.09
pcfg,rockyou,all-12-100-80,500000000,r14,6885020,1.38
pcfg,rockyou,all-12-100-80,500000000,r15,607479,0.12
pcfg,rockyou,all-12-100-80,500000000,r16,968289,0.19
pcfg,rockyou,all-12-100-80,500000000,r17,226307,0.05
pcfg,rockyou,all-12-100-80,500000000,r18,2475078,0.5
pcfg,rockyou,all-12-100-80,500000000,r19,44464365,8.89
pcfg,linkedin,all-12-100-80,500000000,r1,75653361,15.13
pcfg,linkedin,all-12-100-80,500000000,r2,54701075,10.94
pcfg,linkedin,all-12-100-80,500000000,r3,6525274,1.31
pcfg,linkedin,all-12-100-80,500000000,r4,4124388,0.82
pcfg,linkedin,all-12-100-80,500000000,r5,3581,0.0
pcfg,linkedin,all-12-100-80,500000000,r6,405026309,81.01
pcfg,linkedin,all-12-100-80,500000000,r7,3325239,0.67
pcfg,linkedin,all-12-100-80,500000000,r8,415767,0.08
pcfg,linkedin,all-12-100-80,500000000,r9,11451355,2.29
pcfg,linkedin,all-12-100-80,500000000,r10,362223645,72.44
pcfg,linkedin,all-12-100-80,500000000,r11,6328592,1.27
pcfg,linkedin,all-12-100-80,500000000,r12,4842461,0.97
pcfg,linkedin,all-12-100-80,500000000,r13,349433,0.07
pcfg,linkedin,all-12-100-80,500000000,r14,9494702,1.9
pcfg,linkedin,all-12-100-80,500000000,r15,320148,0.06
pcfg,linkedin,all-12-100-80,500000000,r16,214622,0.04
pcfg,linkedin,all-12-100-80,500000000,r17,284327,0.06
pcfg,linkedin,all-12-100-80,500000000,r18,1419138,0.28
pcfg,linkedin,all-12-100-80,500000000,r19,60221830,12.04
pcfg,000webhost,all-12-100-80,500000000,r1,1633840,0.33
pcfg,000webhost,all-12-100-80,500000000,r2,1535382,0.31
pcfg,000webhost,all-12-100-80,500000000,r3,6483,0.0
pcfg,000webhost,all-12-100-80,500000000,r4,367511,0.07
pcfg,000webhost,all-12-100-80,500000000,r5,4719,0.0
pcfg,000webhost,all-12-100-80,500000000,r6,487298567,97.46
pcfg,000webhost,all-12-100-80,500000000,r7,2715432,0.54
pcfg,000webhost,all-12-100-80,500000000,r8,2561068,0.51
pcfg,000webhost,all-12-100-80,500000000,r9,5418863,1.08
pcfg,000webhost,all-12-100-80,500000000,r10,439382468,87.88
pcfg,000webhost,all-12-100-80,500000000,r11,4087850,0.82
pcfg,000webhost,all-12-100-80,500000000,r12,9332722,1.87
pcfg,000webhost,all-12-100-80,500000000,r13,2408730,0.48
pcfg,000webhost,all-12-100-80,500000000,r14,4372706,0.87
pcfg,000webhost,all-12-100-80,500000000,r15,10054,0.0
pcfg,000webhost,all-12-100-80,500000000,r16,14288,0.0
pcfg,000webhost,all-12-100-80,500000000,r17,48022,0.01
pcfg,000webhost,all-12-100-80,500000000,r18,659150,0.13
pcfg,000webhost,all-12-100-80,500000000,r19,56150174,11.23
pcfg,gmail,all-12-100-80,500000000,r1,61158532,12.23
