model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,2500000,142494,2.64%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,5000000,274748,5.08%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,7500000,465338,8.61%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,10000000,589266,10.9%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,25000000,1074982,19.89%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,50000000,1390545,25.73%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,75000000,1551372,28.71%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,100000000,1672809,30.95%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,250000000,2024411,37.46%
pcfg,linkedin,all-8-100-80,f5b5eab91b2f41a51e02a98ab9f9099f,5404143,500000000,2262688,41.87%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,1000000,56402,18.39%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,2500000,69195,22.56%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,5000000,76575,24.96%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,7500000,80083,26.11%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,10000000,82500,26.89%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,25000000,90906,29.63%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,50000000,96602,31.49%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,75000000,99885,32.56%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,100000000,101605,33.12%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,250000000,109301,35.63%
pcfg,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,500000000,113822,37.11%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,1000000,12474,23.26%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,2500000,13747,25.63%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,5000000,14590,27.2%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,7500000,15056,28.07%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,10000000,15387,28.69%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,25000000,16201,30.21%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,50000000,16597,30.94%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,75000000,16838,31.39%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,100000000,17100,31.88%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,250000000,17640,32.89%
pcfg,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,500000000,18112,33.77%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,1000000,67063,9.99%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,2500000,127186,18.95%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,5000000,149422,22.26%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,7500000,159163,23.71%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,10000000,166091,24.75%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,25000000,186976,27.86%
pcfg,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,50000000,202931,30.23%
