model,train-dataset,test-settings,n_samples,length,matches,match_percentage
pcfg,ashleymadison,all-12-100-80,500000000,8,137334733,27.47
pcfg,ashleymadison,all-12-100-80,500000000,9,105542318,21.11
pcfg,ashleymadison,all-12-100-80,500000000,10,83210174,16.64
pcfg,ashleymadison,all-12-100-80,500000000,11,13562924,2.71
pcfg,ashleymadison,all-12-100-80,500000000,12,6001314,1.2
pcfg,taobao,all-12-100-80,500000000,1,81,0.0
pcfg,taobao,all-12-100-80,500000000,2,2323,0.0
pcfg,taobao,all-12-100-80,500000000,3,41565,0.01
pcfg,taobao,all-12-100-80,500000000,4,180593,0.04
pcfg,taobao,all-12-100-80,500000000,5,403877,0.08
pcfg,taobao,all-12-100-80,500000000,6,19518318,3.9
pcfg,taobao,all-12-100-80,500000000,7,40599238,8.12
pcfg,taobao,all-12-100-80,500000000,8,79490776,15.9
pcfg,taobao,all-12-100-80,500000000,9,104703953,20.94
pcfg,taobao,all-12-100-80,500000000,10,114927962,22.99
pcfg,taobao,all-12-100-80,500000000,11,95592146,19.12
pcfg,taobao,all-12-100-80,500000000,12,44539167,8.91
pcfg,mailru,all-12-100-80,500000000,1,10,0.0
pcfg,mailru,all-12-100-80,500000000,2,1394,0.0
pcfg,mailru,all-12-100-80,500000000,3,66145,0.01
pcfg,mailru,all-12-100-80,500000000,4,957993,0.19
pcfg,mailru,all-12-100-80,500000000,5,2678828,0.54
pcfg,mailru,all-12-100-80,500000000,6,55712859,11.14
pcfg,mailru,all-12-100-80,500000000,7,68051072,13.61
pcfg,mailru,all-12-100-80,500000000,8,151225291,30.25
pcfg,mailru,all-12-100-80,500000000,9,78874448,15.77
pcfg,mailru,all-12-100-80,500000000,10,72690286,14.54
pcfg,mailru,all-12-100-80,500000000,11,39614643,7.92
pcfg,mailru,all-12-100-80,500000000,12,30127030,6.03
