combo,train-dataset,test-settings,n_samples,intersection,union,jaccard-index
passgpt-pcfg,ashleymadison,all-12-100-80,500000000,23407450,768924230,0.030441816094155336
passgpt-pcfg,taobao,all-12-100-80,500000000,43624471,854184822,0.051071465889381024
passgpt-pcfg,mailru,all-12-100-80,500000000,35548519,818283100,0.04344281215144245
passgpt-plrgan,rockyou,all-12-100-80,500000000,20345790,721418352,0.028202484652067736
passgpt-plrgan,linkedin,all-12-100-80,500000000,16993558,832726813,0.020407122401617683
passgpt-plrgan,000webhost,all-12-100-80,500000000,6347676,901735943,0.007039395567267523
passgpt-plrgan,gmail,all-12-100-80,500000000,12944314,706567021,0.01832000873983616
passgpt-plrgan,libero,all-12-100-80,500000000,9439351,558156881,0.016911644953813622
passgpt-plrgan,ashleymadison,all-12-100-80,500000000,13295484,517554131,0.025689069420257414
passgpt-plrgan,taobao,all-12-100-80,500000000,19878976,748315114,0.02656497995041164
passgpt-plrgan,mailru,all-12-100-80,500000000,10518769,678463367,0.015503812750438448
passgpt-vgpt2,rockyou,all-12-100-80,500000000,16727386,813670654,0.02055793203032243
passgpt-vgpt2,linkedin,all-12-100-80,500000000,12047398,878112619,0.013719650235432956
passgpt-vgpt2,000webhost,all-12-100-80,500000000,2791526,936592788,0.002980511953290847
passgpt-vgpt2,gmail,all-12-100-80,500000000,10284330,821918122,0.012512596723107658
passgpt-vgpt2,libero,all-12-100-80,500000000,63815,738429814,8.641985844845642e-05
passgpt-vgpt2,ashleymadison,all-12-100-80,500000000,277915,648403703,0.0004286141468874369
passgpt-vgpt2,taobao,all-12-100-80,500000000,13777751,863606103,0.01595374436579219
passgpt-vgpt2,mailru,all-12-100-80,500000000,8226236,820906219,0.010020920550487387
pcfg-plrgan,rockyou,all-12-100-80,500000000,19379137,860214578,0.02252825922231697
pcfg-plrgan,linkedin,all-12-100-80,500000000,27604899,917640902,0.03008246356481612
pcfg-plrgan,000webhost,all-12-100-80,500000000,13469464,952083421,0.014147356946781662
pcfg-plrgan,gmail,all-12-100-80,500000000,11651780,850566333,0.013698849281870177
pcfg-plrgan,libero,all-12-100-80,500000000,4051891,744375906,0.005443339806326294
pcfg-plrgan,ashleymadison,all-12-100-80,500000000,7929974,730005985,0.010862889021382476
pcfg-plrgan,taobao,all-12-100-80,500000000,13600267,854247580,0.015920755666641747
pcfg-plrgan,mailru,all-12-100-80,500000000,10203423,824104608,0.012381223088610616
pcfg-vgpt2,rockyou,all-12-100-80,500000000,19074853,949152760,0.020096715517110227
pcfg-vgpt2,linkedin,all-12-100-80,500000000,19695257,965990190,0.020388671855974025
pcfg-vgpt2,000webhost,all-12-100-80,500000000,6137948,990715632,0.006195469014260996
pcfg-vgpt2,gmail,all-12-100-80,500000000,12146139,962763091,0.012615916743738154
pcfg-vgpt2,libero,all-12-100-80,500000000,42659,919282535,4.6404667091820685e-05
pcfg-vgpt2,ashleymadison,all-12-100-80,500000000,247314,855520648,0.0002890801064569981
pcfg-vgpt2,taobao,all-12-100-80,500000000,10217004,966820607,0.010567631602002045
pcfg-vgpt2,mailru,all-12-100-80,500000000,8983950,965474400,0.009305218242969466
plrgan-vgpt2,rockyou,all-12-100-80,500000000,16811704,832334698,0.02019824962289389
plrgan-vgpt2,linkedin,all-12-100-80,500000000,12430801,919546541,0.013518403306135648
plrgan-vgpt2,000webhost,all-12-100-80,500000000,3790294,959192295,0.003951547588275821
plrgan-vgpt2,gmail,all-12-100-80,500000000,10101089,828018110,0.012199116031411439
plrgan-vgpt2,libero,all-12-100-80,500000000,37658,668339567,5.6345609117587976e-05
plrgan-vgpt2,ashleymadison,all-12-100-80,500000000,127049,594158848,0.00021383002277532354
plrgan-vgpt2,taobao,all-12-100-80,500000000,12156793,835265615,0.014554403750955318
plrgan-vgpt2,mailru,all-12-100-80,500000000,6095699,803513168,0.00758630877845178
